mid,energy,energy_per_atom,volume,formation_energy_per_atom,nsites,band_gap,density,total_magnetization,elasticity
mp-1042809,-274.86364861,-6.246901104772727,570.3663950066103,-2.039630889204544,44,1.7610999999999999,3.9826055021630675,4.0004171,3.9826055021630675
mp-1048245,-321.11998838,-7.298181554090909,512.8623300612551,-2.8017074916396094,44,2.801,3.227294397491092,3.00104,3.227294397491092
mp-1048266,-320.04911402,-7.273843500454546,526.0182639067995,-2.7574532325487002,44,2.8125999999999998,3.1598951147288594,3.9999769,3.1598951147288594
mp-1042026,-160.62023753,-7.3009198877272725,255.05467547200286,-2.797739142635974,22,3.7257999999999996,3.296750779747972,5.000487,3.296750779747972
mp-1045788,-260.8326655,-7.245351819444445,456.16274863715444,-2.7083478618650805,36,2.3741,2.8553189016692357,4.0012319,2.8553189016692357
mp-1041887,-554.83093171,-6.935386646374999,879.9633237867797,-2.7882296961249997,80,3.7430000000000003,3.5501660691254253,1.9897535875,3.5501660691254253
mp-1043243,-244.25466996,-6.106366749,463.8143477005931,-2.1197338557500003,40,2.5052,4.6438491414309775,1.999101675,4.6438491414309775
mp-25139,-130.64477793,-6.5322388965,279.08081537140436,-2.54114209975,20,3.1885000000000003,4.813910508616496,0.0,4.813910508616496
mp-1042817,-259.13017719,-5.889322208863636,554.5756304643501,-1.873848067840909,44,2.6194000000000006,4.130119923752441,1.9997473,4.130119923752441
mp-27872,-113.95687536,-8.139776811428572,155.83500976899737,-3.2352709054761895,14,0.0,3.922096318944905,0.9508166,3.922096318944905
mp-1043530,-259.34841379,-6.4837103447499995,481.87307272343736,-2.2861017695,40,1.5062000000000002,4.430553321189518,4.0002366,4.430553321189518
mp-1045783,-261.58801328,-7.266333702222222,458.63415857360604,-2.737402230807301,36,4.0912999999999995,2.8612359610421843,5.00125415,2.8612359610421843
mp-1040870,-403.16719991,-7.199414284107143,717.6451868422134,-2.5432892095025514,56,2.6039999999999996,3.906992380617964,5.9835809,3.906992380617964
mp-566620,-339.82019281,-6.535003707884615,644.9955394350154,-2.0366903194230774,52,0.17790000000000017,3.926367336669597,1.9995537,3.926367336669597
mp-1040938,-247.94615929,-5.903479983095238,452.2680254528668,-1.759297795238095,42,0.0,4.541797838433057,7.665806483333333,4.541797838433057
mp-1040943,-313.61614016,-7.467050956190476,472.3026176349361,-2.703259836904761,42,1.1481000000000003,4.011969468565531,4.005194933333333,4.011969468565531
mp-1041862,-603.37723085,-7.542215385625001,900.2854607967687,-2.9943954543749998,80,2.3232,3.37120506932973,3.968523425,3.37120506932973
